repo,language,stars,license,snapshot_date
ArchiveBox/ArchiveBox,Python,26771,MIT,2026-02-06
littlecodersh/ItChat,Python,26702,MIT,2026-02-06
pydantic/pydantic,Python,26696,MIT,2026-02-06
MetaCubeX/mihomo,Python,26690,MIT,2026-02-06
facefusion/facefusion,Python,26658,NOASSERTION,2026-02-06
QwenLM/Qwen3,Python,26498,NOASSERTION,2026-02-06
facebookresearch/Detectron,Python,26406,Apache-2.0,2026-02-06
ycm-core/YouCompleteMe,Python,26345,GPL-3.0,2026-02-06
WZMIAOMIAO/deep-learning-for-image-processing,Python,26068,GPL-3.0,2026-02-06
squidfunk/mkdocs-material,Python,25971,MIT,2026-02-06
huggingface/open-r1,Python,25860,Apache-2.0,2026-02-06
Vision-CAIR/MiniGPT-4,Python,25761,BSD-3-Clause,2026-02-06
ungoogled-software/ungoogled-chromium,Python,25668,BSD-3-Clause,2026-02-06
matterport/Mask_RCNN,Python,25515,NOASSERTION,2026-02-06
huggingface/smolagents,Python,25301,Apache-2.0,2026-02-06
assafelovic/gpt-researcher,Python,25223,Apache-2.0,2026-02-06
black-forest-labs/flux,Python,25189,Apache-2.0,2026-02-06
pypa/pipenv,Python,25110,MIT,2026-02-06
Cinnamon/kotaemon,Python,25000,Apache-2.0,2026-02-06
keon/algorithms,Python,24969,MIT,2026-02-06
lucidrains/vit-pytorch,Python,24968,MIT,2026-02-06
Fosowl/agenticSeek,Python,24934,GPL-3.0,2026-02-06
junyanz/pytorch-CycleGAN-and-pix2pix,Python,24930,NOASSERTION,2026-02-06
fishaudio/fish-speech,Python,24819,Apache-2.0,2026-02-06
HumanSignal/labelImg,Python,24765,MIT,2026-02-06
