repo,html_url,stars,language
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,59590,Java
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,59572,Python
nuxt/nuxt,https://github.com/nuxt/nuxt,59535,TypeScript
openai/codex,https://github.com/openai/codex,59451,Rust
jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,59364,JavaScript
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,59319,Python
pathwaycom/pathway,https://github.com/pathwaycom/pathway,59280,Python
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,59237,C#
meta-llama/llama,https://github.com/meta-llama/llama,59123,Python
angular/angular.js,https://github.com/angular/angular.js,58990,JavaScript
git/git,https://github.com/git/git,58964,C
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,58881,Dart
topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,58566,Rust
LadybirdBrowser/ladybird,https://github.com/LadybirdBrowser/ladybird,58423,C++
PlexPt/awesome-chatgpt-prompts-zh,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,58218,
rails/rails,https://github.com/rails/rails,58174,Ruby
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,57982,Go
cline/cline,https://github.com/cline/cline,57676,TypeScript
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,57423,Python
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,57386,JavaScript
FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,57378,Rust
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,57137,JavaScript
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,57105,Python
sharkdp/bat,https://github.com/sharkdp/bat,57020,Rust
FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,56989,C
pmndrs/zustand,https://github.com/pmndrs/zustand,56899,TypeScript
ultralytics/yolov5,https://github.com/ultralytics/yolov5,56795,Python
soimort/you-get,https://github.com/soimort/you-get,56726,Python
usememos/memos,https://github.com/usememos/memos,56663,Go
